,Jenis Barang,Nama Barang,Stok,,,,,,,,,,,,,,
,,,Lemari Kaca,Lemari,Rak A,Rak B,Rak C,Rak D,Rak E,Rak F,Rak G,Lantai,Total,,MO,Gudang,Total
Printer CartridgeHP Toner Cartridge 215A Black,Printer Cartridge,HP Toner Cartridge 215A Black,1,,,,,,,7,,,8,,,,
Printer CartridgeHP Toner Cartridge 215A Cyan,Printer Cartridge,HP Toner Cartridge 215A Cyan,1,,,,,,,6,,,7,,,,
Printer CartridgeHP Toner Cartridge 215A Magenta,Printer Cartridge,HP Toner Cartridge 215A Magenta,1,,,,,,,5,,,6,,,,
Printer CartridgeHP Toner Cartridge 215A Yellow,Printer Cartridge,HP Toner Cartridge 215A Yellow,1,,,,,,,5,,,6,,,,
Printer CartridgeHP Toner Cartridge 76A Black,Printer Cartridge,HP Toner Cartridge 76A Black,1,,,,,,,1,,,2,,,,
Printer CartridgeHP Toner Cartridge 83A Black,Printer Cartridge,HP Toner Cartridge 83A Black,1,,,,,,,5,,,6,,,,
Printer CartridgeKYOCERA Toner Kit Black,Printer Cartridge,KYOCERA Toner Kit Black,,,,,,,,1,,,1,,,,
Printer CartridgeHP Toner Cartridge 107A Black,Printer Cartridge,HP Toner Cartridge 107A Black,1,,,,,,,1,,,2,,,,
Printer InkCANON Pixma 70C Black,Printer Ink,CANON Pixma 70C Black,,,,,,,,3,,,3,,,,
Printer InkCANON Pixma 70C Cyan,Printer Ink,CANON Pixma 70C Cyan,,,,,,,,5,,,5,,,,
Printer InkCANON Pixma 70C Magenta,Printer Ink,CANON Pixma 70C Magenta,,,,,,,,5,,,5,,,,
Printer InkCANON Pixma 70C Yellow,Printer Ink,CANON Pixma 70C Yellow,,,,,,,,4,,,4,,,,
Printer InkCANON Pixma 790 Cyan,Printer Ink,CANON Pixma 790 Cyan,,,,,,,,2,,,2,,,,
Printer InkCANON Pixma 790 Magenta,Printer Ink,CANON Pixma 790 Magenta,,,,,,,,2,,,2,,,,
Printer InkCANON Pixma 790 Yellow,Printer Ink,CANON Pixma 790 Yellow,,,,,,,,2,,,2,,,,
Printer InkEPSON Ink 003 Black,Printer Ink,EPSON Ink 003 Black,4,,,,,,,89,,,93,,,,
Printer InkEPSON Ink 003 Cyan,Printer Ink,EPSON Ink 003 Cyan,2,,,,,,,33,,,35,,,,
Printer InkEPSON Ink 003 Magenta,Printer Ink,EPSON Ink 003 Magenta,2,,,,,,,36,,,38,,,,
Printer InkEPSON Ink 003 Yellow,Printer Ink,EPSON Ink 003 Yellow,2,,,,,,,36,,,38,,,,
Printer InkEPSON Ink 664 Black,Printer Ink,EPSON Ink 664 Black,1,,,,,,,5,,,6,,,,
Printer InkEPSON Ink 664 Cyan,Printer Ink,EPSON Ink 664 Cyan,1,,,,,,,4,,,5,,,,
Printer InkEPSON Ink 664 Magenta,Printer Ink,EPSON Ink 664 Magenta,1,,,,,,,4,,,5,,,,
Printer InkEPSON Ink 664 Yellow,Printer Ink,EPSON Ink 664 Yellow,1,,,,,,,4,,,5,,,,
Printer InkEPSON Ink 673 Black,Printer Ink,EPSON Ink 673 Black,,,,,,,,6,,,6,,,,
Printer InkEPSON Ink 673 Cyan,Printer Ink,EPSON Ink 673 Cyan,,,,,,,,5,,,5,,,,
Printer InkEPSON Ink 673 Light Cyan,Printer Ink,EPSON Ink 673 Light Cyan,,,,,,,,3,,,3,,,,
Printer InkEPSON Ink 673 Light Magenta,Printer Ink,EPSON Ink 673 Light Magenta,,,,,,,,2,,,2,,,,
Printer InkEPSON Ink 673 Magenta,Printer Ink,EPSON Ink 673 Magenta,,,,,,,,3,,,3,,,,
Printer InkEPSON Ink 673 Yellow,Printer Ink,EPSON Ink 673 Yellow,,,,,,,,3,,,3,,,,
Printer InkHP Ink Advantage Cartridge 680 Black,Printer Ink,HP Ink Advantage Cartridge 680 Black,,,,,,,,4,,,4,,,,
Printer InkHP Ink Cartridge HP10 Black,Printer Ink,HP Ink Cartridge HP10 Black,,,,,,,,1,,,1,,,,
Printer InkHP Ink Cartridge HP11 Magenta,Printer Ink,HP Ink Cartridge HP11 Magenta,,,,,,,,1,,,1,,,,
Printer InkHP Ink Cartridge HP11 Yellow,Printer Ink,HP Ink Cartridge HP11 Yellow,,,,,,,,1,,,1,,,,
Printer InkEpson Black ink 774,Printer Ink,Epson Black ink 774,1,,,,,,,1,,,2,,,,
ProyektorEpson EB-FH52 Full HD 3LCD Projector,Proyektor,Epson EB-FH52 Full HD 3LCD Projector,,,,,,,,,,,,,,,
ProyektorEPSON Proyektor EB-S300,Proyektor,EPSON Proyektor EB-S300,,,,,,,,,,,,,,,
ProyektorEPSON Proyektor EB-X400,Proyektor,EPSON Proyektor EB-X400,,,,,2,,,,,,2,,,,
ProyektorEPSON Proyektor EB-X500,Proyektor,EPSON Proyektor EB-X500,1,,,,1,,,,,,2,,,,
ProyektorEPSON Proyektor EB-X600,Proyektor,EPSON Proyektor EB-X600,,,,,2,,,,,,2,,,,
RemoteRemote,Remote,Remote,,2,,,,,,,,,2,,,,
RemoteRemote EPSON PROJECTOR,Remote,Remote EPSON PROJECTOR,,3,,,,,,,,,3,,,,
RemoteRemote LOGITECH,Remote,Remote LOGITECH,,3,,,,,,,,,3,,,,
Ribbon CartridgeEPSON Ribbon Cartridge LQ310,Ribbon Cartridge,EPSON Ribbon Cartridge LQ310,2,,,,,,,20,,,22,,,,
Ribbon CartridgeFARGO Card Printer Cleaning Kit,Ribbon Cartridge,FARGO Card Printer Cleaning Kit,,,,1,,,,,,,1,,,,
